arterycode,centreline_id,sideofint
3954,109346,N
3954,30059609,S
3954,30001838,W
3954,11653468,E
6446,1146396,N
6446,30089213,W
6446,7586942,E
14947,20235984,S
14947,20235972,W
14947,20235971,E
24761,20111586,N
24761,30015173,W
24761,20111567,E
26356,30009706,N
26356,30009705,S
26356,30009707,E
32030,30028870,N
32030,30021316,S
32030,30021271,W
32030,30021270,E
32321,14189397,W
32481,8206167,N
36908,14675328,N
36908,30074506,S
36908,14675135,W
4709,20154558,N
4709,20154544,S
4709,20154621,W
4709,20154557,E
5009,30021551,N
5009,30021550,S
5009,30082393,W
3965,445156,N
3965,445250,S
3965,445222,W
3965,445155,E
4039,20044501,N
4039,14204029,S
4039,30012612,W
4039,14204001,E
4202,3065754,N
4202,14037155,S
4202,1146332,W
4202,10864309,E
4363,30073909,N
4363,436832,S
4363,436758,W
4363,436731,E
4507,1139880,N
4507,1140199,S
4507,1139963,W
4507,1139879,E
4720,30016129,N
4720,8680975,S
4720,432,W
4720,8677049,E
4778,8824030,N
4778,7862433,S
4778,6238151,W
4778,6195239,E
4779,6231632,N
4779,20048482,S
4779,914479,W
4779,6195251,E
4873,20044267,N
4873,30089847,S
4873,8087218,W
4873,30089844,E
4924,14013313,N
4924,14013595,S
4924,1142774,W
4924,8416915,E
4978,20231119,N
4978,30017549,S
4978,8608502,W
4978,8608491,E
5172,30015105,N
5172,9410000,S
5172,1449,W
5172,1366,E
5188,1145785,N
5188,30057507,S
5188,1145812,W
5188,8396807,E
5197,6027215,N
5197,914882,S
5197,9941956,W
5197,20230538,E
5232,111863,N
5232,5413270,S
5232,444763,W
5232,5413251,E
5390,14037089,N
5390,30017572,S
5390,8608491,W
5390,10663266,E
5450,908438,N
5450,20059766,S
5450,908459,W
5450,20059760,E
5586,113237,N
5586,113254,S
5586,113240,W
5586,2286552,E
5600,111501,N
5600,6674318,S
5600,111591,W
5600,111495,E
5614,12189729,N
5614,14014172,S
5614,14014159,W
5614,1143284,E
5693,9340537,N
5693,4684751,S
5693,110316,W
5693,110270,E
5865,8127,N
5865,14067359,S
5865,8128,W
5865,8174,E
5880,20079154,N
5880,14066953,S
5880,3497322,W
5880,7459,E
6181,30036320,N
6181,1143136,S
6181,6387985,W
6181,10035628,E
6848,10258028,N
6848,13232840,S
6848,2884115,W
6848,20057357,E
11879,14078493,N
11879,14072838,S
11879,8745,W
11879,14068812,E
12116,30073968,N
12116,14021164,S
12116,8677216,W
12116,14021105,E
12261,10757512,N
12261,7986338,S
12261,14017401,W
12261,14042376,E
13811,1144744,N
13811,1144816,W
13811,2689046,E
14869,7470,N
14869,14051000,S
14869,14050981,W
14869,7469,E
20298,30017463,N
20298,14022592,S
20298,1142199,W
20298,1142163,E
22714,8419,N
22714,8594,S
22714,30006087,W
22714,8417,E
23204,20260229,N
23204,1139723,S
23204,14232499,W
23204,20141111,E
23331,7402,N
23331,30017559,S
23331,20010472,W
23331,20010443,E
24213,106517,N
24213,106527,S
24878,20111834,N
24878,7553549,S
24878,30075899,W
24878,3121358,E
28070,14016102,N
28070,14016124,S
28070,1140012,W
28070,10367572,E
28071,14016094,N
28071,1140362,S
28071,1140029,W
28071,1140012,E
28281,1116,N
28281,20041963,S
28281,1133,W
28281,3232748,E
30280,112961,N
30280,8237825,S
30280,8237684,W
30280,4819765,E
30295,112937,N
30295,112979,S
30295,112943,W
30295,112936,E
31501,14073965,W
31501,14073964,E
32574,14022569,N
32574,14171638,S
32574,14171607,W
32574,8407995,E
32575,14016751,N
32575,20080665,S
32575,14064632,W
32575,14016798,E
35205,30023599,N
35205,30023585,S
36477,8824030,N
36477,7862433,S
36477,6238151,W
36477,6195239,E
37865,107624,N
37865,107695,S
37865,107682,W
37865,11466889,E
37875,112675,N
37875,2312030,S
37875,112691,W
37875,112674,E
